revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,writable-hits=50/warm=true/delayed=true/workers=1,3331528.0,4334.0,512.0,0.0,0.0,233.0,0.0,1024.0,10466722.0,750.0,1042.0,18250.0,64.0,512.0,10.46,0.0,0.0,0.9993,512.0,0.0,0.0
before,writable-hits=50/warm=true/delayed=true/workers=2,3974661.0,4378.0,512.0,0.0,0.0,245.3,0.0,1024.0,7747153.0,709.0,1125.0,22625.0,64.0,512.0,7.737,0.0,0.0,0.992,512.0,0.0,0.0
before,writable-hits=50/warm=true/delayed=true/workers=4,4013154.0,4668.0,512.0,0.0,0.0,321.0,0.0,1024.0,8948195.0,500.0,875.0,12292.0,64.0,512.0,8.938,0.0,0.0,0.9816,512.0,0.0,0.0
before,writable-hits=100/warm=false/delayed=false/workers=1,2474202.0,4821.0,0.0,1094051.0,36.0,228.0,72.0,1024.0,2618403.0,750.0,1042.0,18750.0,64.0,0.0,2.611,2188102.0,72.0,0.9975,1024.0,1094051.0,36.0
before,writable-hits=100/warm=false/delayed=false/workers=2,2486160.0,4850.0,0.0,2109071.0,68.67,162.3,137.7,1024.0,1534722.0,584.0,1084.0,12666.0,64.0,0.0,1.528,4249803.0,137.7,0.9911,1024.0,2140732.0,69.0
before,writable-hits=100/warm=false/delayed=false/workers=4,2507424.0,4916.0,0.0,2913368.0,95.33,109.3,190.7,1024.0,1937625.0,709.0,1084.0,18125.0,64.0,0.0,1.92,5887211.0,190.7,0.9648,1024.0,2973843.0,95.33
before,writable-hits=100/warm=false/delayed=true/workers=1,2471469.0,4800.0,0.0,1094051.0,36.0,228.0,72.0,1024.0,7560875.0,834.0,1208.0,18709.0,64.0,0.0,7.552,2188102.0,72.0,0.9981,1024.0,1094051.0,36.0
before,writable-hits=100/warm=false/delayed=true/workers=2,2486021.0,4845.0,0.0,2119750.0,69.0,162.7,137.3,1024.0,5968250.0,583.0,875.0,14833.0,64.0,0.0,5.96,4249615.0,137.3,0.9964,1024.0,2129865.0,68.33
before,writable-hits=100/warm=false/delayed=true/workers=4,2512976.0,4958.0,0.0,4051562.0,133.0,34.0,266.0,1024.0,5949139.0,625.0,875.0,16875.0,64.0,0.0,5.936,8166077.0,266.0,0.9923,1024.0,4114515.0,133.0
before,writable-hits=100/warm=true/delayed=false/workers=1,2463256.0,4762.0,0.0,0.0,0.0,300.0,0.0,1024.0,1467320.0,708.0,917.0,18833.0,64.0,0.0,1.459,0.0,0.0,0.9951,1024.0,0.0,0.0
