revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,writable-hits=50/warm=true/delayed=true/workers=1,3293704.0,4360.0,512.0,0.0,0.0,233.0,0.0,1024.0,22422847.0,1250.0,2083.0,38083.0,64.0,512.0,22.41,0.0,0.0,0.9992,512.0,0.0,0.0
before,writable-hits=50/warm=true/delayed=true/workers=2,4063538.0,4499.0,512.0,0.0,0.0,260.0,0.0,1024.0,23896222.0,1583.0,2833.0,34708.0,64.0,512.0,23.88,0.0,0.0,0.992,512.0,0.0,0.0
before,writable-hits=50/warm=true/delayed=true/workers=4,4439394.0,4628.0,512.0,0.0,0.0,286.3,0.0,1024.0,20410528.0,1291.0,3083.0,39875.0,64.0,512.0,20.4,0.0,0.0,0.9873,512.0,0.0,0.0
before,writable-hits=100/warm=false/delayed=false/workers=1,2471416.0,4830.0,0.0,1094051.0,36.0,228.0,72.0,1024.0,5855917.0,1375.0,2833.0,38083.0,64.0,0.0,5.831,2188102.0,72.0,0.9955,1024.0,1094051.0,36.0
before,writable-hits=100/warm=false/delayed=false/workers=2,2651144.0,5020.0,0.0,1852600.0,60.33,226.0,128.0,1024.0,3296278.0,1083.0,1666.0,16500.0,64.0,0.0,3.281,3939940.0,128.0,0.9627,1024.0,2119563.0,68.33
before,writable-hits=100/warm=false/delayed=false/workers=4,3005696.0,5402.0,0.0,2326428.0,77.67,240.7,171.0,1024.0,2082555.0,791.0,1458.0,19375.0,64.0,0.0,2.072,5218930.0,171.0,0.9286,1024.0,2892501.0,93.33
before,writable-hits=100/warm=false/delayed=true/workers=1,2472346.0,4840.0,0.0,1094051.0,36.0,228.0,72.0,1024.0,8833569.0,1167.0,2416.0,23916.0,64.0,0.0,8.82,2188102.0,72.0,0.9984,1024.0,1094051.0,36.0
before,writable-hits=100/warm=false/delayed=true/workers=2,2665192.0,5058.0,0.0,2109070.0,68.67,223.7,137.7,1024.0,8537513.0,1125.0,2125.0,37000.0,64.0,0.0,8.52,4239311.0,137.7,0.9853,1024.0,2119562.0,68.67
before,writable-hits=100/warm=false/delayed=true/workers=4,3010805.0,5450.0,0.0,3848668.0,126.7,151.7,261.0,1024.0,7172680.0,875.0,1667.0,20042.0,64.0,0.0,7.156,7994167.0,261.0,0.9666,1024.0,4146738.0,134.3
before,writable-hits=100/warm=true/delayed=false/workers=1,2463952.0,4784.0,0.0,0.0,0.0,300.0,0.0,1024.0,2956403.0,1292.0,2042.0,31666.0,64.0,0.0,2.94,0.0,0.0,0.9931,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=false/workers=2,2679826.0,4981.0,0.0,0.0,0.0,366.0,0.0,1024.0,2198472.0,1292.0,1958.0,32291.0,64.0,0.0,2.179,0.0,0.0,0.9155,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=false/workers=4,2967709.0,5259.0,0.0,0.0,0.0,409.7,0.0,1024.0,2388250.0,1292.0,2625.0,25833.0,64.0,0.0,2.365,0.0,0.0,0.8943,1024.0,0.0,0.0
