# gomaxprocs=3 os_cache=retained cache=logical_shared_block_cache reads=logical_sst_vfs_reads_not_physical_hdd_reads foreground=Put_NoSync
storage	os_cache	synthetic_delay	hit_rate	iterations	promote_p50_ns	promote_p95_ns	promote_p99_ns	allocs_per_op	bytes_alloc_per_op	archive_sst_reads_per_batch	archive_sst_bytes_per_batch	writable_sst_reads_per_batch	writable_sst_bytes_per_batch	block_cache_misses_per_batch	block_cache_hits_per_batch	overlap_promote_p50_ns	overlap_promote_p95_ns	overlap_promote_p99_ns	foreground_put_p50_ns	foreground_put_p95_ns	foreground_put_p99_ns	overlap_samples	archive_lookups_per_batch	archive_lookups_avoided_per_batch	prefetch_bytes_per_batch	version_mismatches_per_batch	retries_per_batch	fallbacks_per_batch
ssd-vfs	retained	0s	0%	32	79854625	93426916	93884000	1235.25	26253866.50	268.00	4213128.66	0.00	0.00	266.00	0.00	73803041	94072333	99453250	12875	33083	51833	32	-	-	-	-	-	-
ssd-vfs	retained	0s	50%	32	40670875	68638583	69250917	1275.03	17416516.25	268.00	4213128.66	131.00	2105794.19	397.00	0.00	41898458	72486666	76079083	11500	15792	18625	32	-	-	-	-	-	-
ssd-vfs	retained	0s	100%	32	5156875	9636292	10052833	1194.62	8495248.00	268.00	4213128.66	262.00	4211590.66	528.00	0.00	3975333	8726625	9062250	8167	78917	471917	32	-	-	-	-	-	-
delayed-vfs	retained	250µs	0%	32	133286958	166600209	177845833	1225.53	25703190.00	268.00	4213128.66	0.00	0.00	266.00	0.00	137780708	169358833	178639292	6500	40416	46208	32	-	-	-	-	-	-
delayed-vfs	retained	250µs	50%	32	169140292	196581500	204329834	1298.72	17444151.50	268.00	4213128.66	131.16	2106180.69	397.16	0.00	164517416	196821042	198135667	6750	12292	21000	32	-	-	-	-	-	-
delayed-vfs	retained	250µs	100%	32	166032833	294709584	318460291	1247.19	8499870.75	268.00	4213128.66	264.22	4212553.50	529.69	0.00	163306875	256888250	287590834	7583	18208	18791	32	-	-	-	-	-	-
